Disease,Symptom,Weight
Foot and Mouth Disease,Blisters on mouth,1.0
Foot and Mouth Disease,Blisters on hooves,1.0
Foot and Mouth Disease,Excessive salivation,0.9
Foot and Mouth Disease,Lameness,0.8
Foot and Mouth Disease,Fever,0.8
Foot and Mouth Disease,Loss of appetite,0.7
Foot and Mouth Disease,Nasal discharge,0.6
Foot and Mouth Disease,Weight loss,0.5
Bovine Tuberculosis,Chronic cough,1.0
Bovine Tuberculosis,Progressive weight loss,0.9
Bovine Tuberculosis,Weakness,0.8
Bovine Tuberculosis,Enlarged lymph nodes,0.9
Bovine Tuberculosis,Reduced milk production,0.7
Bovine Tuberculosis,Fever,0.7
Bovine Tuberculosis,Difficulty breathing,0.8
Bovine Tuberculosis,Loss of appetite,0.6
Bovine Tuberculosis,Nasal discharge,0.6
Bovine Tuberculosis,Emaciation,0.8
Brucellosis,Abortion in late pregnancy,1.0
Brucellosis,Retained placenta,0.9
Brucellosis,Infertility,0.9
Brucellosis,Swollen joints,0.7
Brucellosis,Fever,0.7
Brucellosis,Weakness,0.6
Brucellosis,Reduced milk production,0.7
Brucellosis,Orchitis in males,0.8
Anthrax,Sudden death,1.0
Anthrax,High fever,1.0
Anthrax,Bloody discharge from orifices,1.0
Anthrax,Swelling of throat,0.9
Anthrax,Difficulty breathing,0.9
Anthrax,Convulsions,0.8
Anthrax,Dark blood that fails to clot,0.9
Blackleg,Sudden lameness,1.0
Blackleg,Swelling of hindquarters,1.0
Blackleg,Crackling sound under skin,0.9
Blackleg,High fever,0.9
Blackleg,Depression,0.8
Blackleg,Loss of appetite,0.7
Blackleg,Rapid death,0.9
Blackleg,Dark discoloration of skin,0.8
Bovine Respiratory Disease,Coughing,0.9
Bovine Respiratory Disease,Nasal discharge,0.9
Bovine Respiratory Disease,Fever,0.8
Bovine Respiratory Disease,Difficulty breathing,0.9
Bovine Respiratory Disease,Depression,0.7
Bovine Respiratory Disease,Loss of appetite,0.7
Bovine Respiratory Disease,Rapid breathing,0.8
Bovine Respiratory Disease,Eye discharge,0.6
Mastitis,Swollen udder,1.0
Mastitis,Hot udder,0.9
Mastitis,Painful udder,0.9
